Nome;Versão;Tipo;Dinâmica;Descrição;IMAGEM;Observação;Arte;Prompt Arte
Fratura do Silêncio;v1;Épico-Permanente;Deck Control;Seu oponente joga com sua mão aberta. O jogador que controla este item é imune a efeitos que descartem cartas de sua mão ou o topo do deck de adversários.;;"Slot Épico único de Silenteia (cópia única; se for ao descarte, é removido do jogo). Reforça Ponto Fraco/Clarividência em sua forma mais extrema — visão permanente e contínua, não pontual como os Itens temáticos do tipo. Efeito determinístico, sem Aposte, coerente com a raridade dessa mecânica.";item-fratura-do-silencio-v1.png;"Uma fenda vertical de luz absoluta rasgando o céu sobre o deserto de Silenteia, revelando através dela um vislumbre distorcido de outro mundo do lado de dentro; o silêncio do deserto parece visualmente 'quebrado' — ondas de distorção se propagam a partir da fenda como se o próprio ar tivesse sido rasgado; dunas ao redor permanecem imóveis e intocadas, contraste entre a calma do mundo e a violência silenciosa da fratura; luz dourada da fenda contrastando com o céu crepuscular roxo-acinzentado ao redor; linha de arte no estilo de Moebius — traço fino e preciso, composição onírica e monumental, sensação de um segredo absoluto sendo forçosamente exposto. Proporção 1:1"
Cântaro da Última Água;v1;Lendário-Volátil;Cura/Sobrevida;"Cura 3 pontos de Vida ao personagem equipado; a última água guardada em Silenteia nunca é desperdiçada, só compartilhada no momento certo.";;"Cópia única (Lendário). Cobre Cura/Sobrevida modesta, assinatura de Magia, em escala pontual mais generosa que os Itens Temáticos do tipo.";item-cantaro-da-ultima-agua-v1.png;"Cântaro de barro rústico e rachado, mas ainda funcional, meio enterrado na areia próximo a um poço de Silenteia, água escassa e preciosa visível em seu interior refletindo o céu; mãos de um monge idoso servindo cuidadosamente um pouco da água em uma tigela simples; luz dourada de entardecer; linha de arte no estilo de Moebius — traço fino e preciso, composição íntima e reverente, sensação de escassez tratada com reverência. Proporção 1:1"
Cajado do Vento Parado;v1;Lendário-Permanente;Clarividência;"Uma vez por turno, olhe a mão do oponente; o cajado nunca se move, mas tudo ao seu redor já foi visto antes de acontecer.";;"Cópia única (Lendário). Cobre Clarividência de forma recorrente e barata (sem custo de energia), reforçando a leitura constante do ambiente característica de Magia.";item-cajado-do-vento-parado-v1.png;"Cajado longo e reto de madeira escura polida, cravado verticalmente na areia de uma duna, absolutamente imóvel apesar de uma leve brisa visível ao redor — o próprio vento parece desviar-se dele; pequenos símbolos gravados sutilmente ao longo do cajado emitem um brilho fraco e constante; céu de entardecer em tons dourados e roxo-acinzentados; linha de arte no estilo de Moebius — traço fino e preciso, composição vertical e serena, sensação de imobilidade que tudo observa. Proporção 1:1"
Máscara do Sem-Rosto;v1;Lendário-Permanente;Defensivo;"Enquanto equipado, o personagem não pode ser alvo de efeitos que revelem sua Defesa/Resistência; contra-lê o próprio hábito de Silenteia de ler os pontos fracos alheios.";;"Cópia única (Lendário). Item defensivo que inverte a assinatura de Ponto Fraco do próprio tipo, protegendo contra ela — decisão deliberada de design para dar ao tipo uma resposta interna à sua própria mecânica.";item-mascara-do-sem-rosto-v1.png;"Máscara lisa e sem feições, cor de areia desbotada, pousada sobre uma pedra plana em um templo vazio de Silenteia, superfície completamente uniforme e sem abertura para olhos ou boca; leve névoa de areia fina pairando ao redor como se a máscara distorcesse sutilmente o ar próximo; luz suave e difusa do interior do templo; linha de arte no estilo de Moebius — traço fino e preciso, composição minimalista e inquietante, sensação de anonimato absoluto e proteção silenciosa. Proporção 1:1"
Espelho de Areia;v1;Temático-Permanente;Resistência;"Enquanto em jogo, o personagem equipado copia a Resistência (não a Fraqueza) de um tipo à escolha, uma vez por partida; a areia de Silenteia reflete apenas o que fortalece, nunca o que expõe.";;"Cobre flexibilidade defensiva ligada à identidade contemplativa do tipo. Efeito determinístico, uso único por partida.";item-espelho-de-areia-v1.png;"Superfície plana e polida de areia compactada que reflete como um espelho imperfeito, distorcendo levemente a imagem de quem se aproxima; moldura simples de pedra ao redor do espelho de areia, cravada no chão de um templo; luz dourada de entardecer refletida de forma difusa e onírica na superfície; linha de arte no estilo de Moebius — traço fino e preciso, composição contemplativa, sensação de reflexo seletivo e protetor. Proporção 1:1"
Tigre de Pedra do Deserto;v1;Temático-Volátil;Clarividência/Controle;"Revele a mão do oponente uma vez e descarte uma carta à escolha; uma estátua antiga de Silenteia que ainda ruge silenciosamente contra quem se aproxima com más intenções.";;"Cobre Clarividência combinada a controle leve (descarte à escolha), reforçando a vigilância protetora dos templos.";item-tigre-de-pedra-do-deserto-v1.png;"Estátua de pedra esculpida em forma de tigre estilizado e anguloso, meio soterrada por areia acumulada ao longo de séculos, postura de ataque congelada eternamente; pequenas rachaduras douradas emitindo um brilho fraco, como se ainda guardasse vestígios de vida; dunas ao redor sob luz de entardecer; linha de arte no estilo de Moebius — traço fino e preciso, composição monumental e antiga, sensação de vigilância silenciosa petrificada no tempo. Proporção 1:1"
Grilhão de Areia;v1;Temático-Volátil;Debuff;"Reduz a Defesa do alvo em 3 pontos até o fim do turno; a areia de Silenteia se agarra aos tornozelos do oponente como grilhões invisíveis.";;"Cobre Debuff de Atk/Def, assinatura de Magia, em escala Temática (mais forte que a versão dos Sobre-humanos, mas de uso único).";item-grilhao-de-areia-v1.png;"Correntes finas feitas inteiramente de areia compactada e endurecida, envolvendo os tornozelos de uma silhueta indistinta em movimento de combate, grãos se desprendendo lentamente da corrente enquanto ela se mantém firme; dunas ao fundo sob luz de entardecer; linha de arte no estilo de Moebius — traço fino e preciso, composição dinâmica mas onírica, sensação de restrição sutil e inescapável. Proporção 1:1"
Bandagem do Silêncio;v1;Temático-Volátil;Suporte;"Remove um Debuff de um personagem aliado; enrolada em silêncio absoluto, a bandagem apaga o mal antes mesmo de ser sentido.";;"Cobre suporte defensivo leve, complementando a linha de Cura/Sobrevida modesta sem ser cura direta.";item-bandagem-do-silencio-v1.png;"Faixa de tecido simples cor de areia sendo enrolada suavemente ao redor de um braço ferido, quase transparente contra a luz, como se absorvesse a dor em vez de apenas cobri-la; ambiente de templo simples e silencioso ao fundo; luz suave e difusa; linha de arte no estilo de Moebius — traço fino e preciso, composição íntima e curativa, sensação de alívio silencioso e imediato. Proporção 1:1"
Cinzas do Último Templo;v1;Temático-Volátil;Sobrevida;"Devolve um personagem aliado com 2 ou menos de Vida a 1 ponto; mesmo o templo mais destruído deixa cinzas capazes de reacender uma última chama de vida.";;"Cobre Sobrevida pontual condicionada a Vida baixa, reforçando a linha de assinatura Cura/Sobrevida modesta em sua forma mais emergencial.";item-cinzas-do-ultimo-templo-v1.png;"Pequeno monte de cinzas claras e ainda mornas, restos de um templo de areia compactada destruído, com um brilho fraco e residual emanando do centro do monte; ruínas parcialmente visíveis ao fundo sob um céu de entardecer; linha de arte no estilo de Moebius — traço fino e preciso, composição melancólica mas esperançosa, sensação de vida residual em meio à destruição. Proporção 1:1"
Agulha da Fresta;v1;Temático-Volátil;Ponto Fraco;"A próxima ação do personagem equipado ignora metade da Defesa do alvo; fina o bastante para passar por qualquer fresta na guarda do oponente.";;"Fecha a cobertura das 4 palavras-chave de assinatura de Magia na cota de Itens do tipo, cobrindo Ponto Fraco de forma direta e reutilizável (Permanente seria mais forte; aqui é Volátil, de uso único).";item-agulha-da-fresta-v1.png;"Agulha longa e fina, quase invisível contra a luz, segurada delicadamente entre dois dedos, ponta reluzente perfeitamente afiada; ao fundo desfocado, a silhueta de um guerreiro em posição de combate; luz rasante de entardecer destacando o brilho metálico da agulha; linha de arte no estilo de Moebius — traço fino e preciso, composição minimalista e precisa, sensação de precisão cirúrgica e sutileza letal. Proporção 1:1"
